time,lat,lon,alt
2024-01-01 11:53:00,90.0,166.10576846531862,-6352979.251043855
2024-01-01 11:54:00,90.0,169.73666117692878,-6353238.160617066
2024-01-01 11:55:00,90.0,173.1534012091211,-6353514.7139172135
2024-01-01 11:56:00,90.0,176.38345154347468,-6353807.524092178
2024-01-01 11:57:00,90.0,179.45259880512864,-6354115.122125098
2024-01-01 11:58:00,90.0,-177.61522290981978,-6354435.96420834
2024-01-01 11:59:00,90.0,-174.7979055643389,-6354768.439533168
2024-01-01 12:00:00,90.0,-172.07501982658806,-6355110.878456147
2024-01-01 12:01:00,90.0,-169.4276005530192,-6355461.560998032
2024-01-01 12:02:00,90.0,-166.837898569611,-6355818.725628753
2024-01-01 12:03:00,90.0,-164.2891183297536,-6356180.578287979
2024-01-01 12:04:00,90.0,-161.76515186146537,-6356545.301587886
2024-01-01 12:05:00,-90.0,-159.25031358843498,-6356593.564346749
2024-01-01 12:06:00,-90.0,-156.7290771125128,-6356228.598516016
2024-01-01 12:07:00,-90.0,-154.18581316751457,-6355866.260572077
2024-01-01 12:08:00,-90.0,-151.60452732810293,-6355508.367486484
2024-01-01 12:09:00,-90.0,-148.96859652165796,-6355156.712769143
2024-01-01 12:10:00,-90.0,-146.26050506120737,-6354813.05735233
2024-01-01 12:11:00,-90.0,-143.46158410569623,-6354479.120682222
2024-01-01 12:12:00,-90.0,-140.5517638166841,-6354156.572068679
2024-01-01 12:13:00,-90.0,-137.50935592536752,-6353847.0223400295
2024-01-01 12:14:00,-90.0,-134.31089725855634,-6353552.015845844
2024-01-01 12:15:00,-90.0,-130.9311035451066,-6353273.022847058
2024-01-01 12:16:00,-90.0,-127.34300898082546,-6353011.432328497
2024-01-01 12:17:00,-90.0,-123.51840099488197,-6352768.545264419
2024-01-01 12:18:00,-90.0,-119.42869882714439,-6352545.5683635
2024-01-01 12:19:00,-90.0,-115.04645964394557,-6352343.608315731
2024-01-01 12:20:00,-90.0,-110.34770576586497,-6352163.666559576
2024-01-01 12:21:00,-90.0,-105.31521279765752,-6352006.634584391
2024-01-01 12:22:00,-90.0,-99.9427267217148,-6351873.289779766
2024-01-01 12:23:00,-90.0,-94.23973860497779,-6351764.291840676
2024-01-01 12:24:00,-90.0,-88.23594733195405,-6351680.179735211
2024-01-01 12:25:00,-90.0,-81.98403150793612,-6351621.369239474
2024-01-01 12:26:00,-90.0,-75.55915852300359,-6351588.151042985
2024-01-01 12:27:00,-90.0,-69.05416430353466,-6351580.689426718
2024-01-01 12:28:00,-90.0,-62.57064349943826,-6351599.021515093
2024-01-01 12:29:00,-90.0,-56.20780618544516,-6351643.05710264
2024-01-01 12:30:00,-90.0,-50.051955658565,-6351712.579055623
2024-01-01 12:31:00,-90.0,-44.16915700064909,-6351807.244288423
2024-01-01 12:32:00,-90.0,-38.60229329768931,-6351926.585313953
2024-01-01 12:33:00,-90.0,-33.372120859127804,-6352070.012366803
2024-01-01 12:34:00,-90.0,-28.480942213913178,-6352236.816096631
2024-01-01 12:35:00,-90.0,-23.91734093998671,-6352426.170828403
2024-01-01 12:36:00,-90.0,-19.660797042808547,-6352637.138383945
2024-01-01 12:37:00,-90.0,-15.685536095793532,-6352868.672457702
2024-01-01 12:38:00,-90.0,-11.963405158264715,-6353119.623536744
2024-01-01 12:39:00,-90.0,-8.465833626801974,-6353388.7443518685
2024-01-01 12:40:00,-90.0,-5.165052326049113,-6353674.695843897
2024-01-01 12:41:00,-90.0,-2.0347653936468397,-6353976.053625118
2024-01-01 12:42:00,-90.0,0.9495545205606676,-6354291.314911386
2024-01-01 12:43:00,-90.0,3.810615804113678,-6354618.90589724
2024-01-01 12:44:00,-90.0,6.569407856965192,-6354957.189540988
2024-01-01 12:45:00,-90.0,9.245387950051578,-6355304.4737230735
2024-01-01 12:46:00,-90.0,11.856714338900394,-6355659.019736315
2024-01-01 12:47:00,-90.0,14.420501099893166,-6356019.051063838
2024-01-01 12:48:00,-90.0,16.953080960384636,-6356382.762394914
2024-01-01 12:49:00,-90.0,19.470269426176127,-6356748.3288282
2024-01-01 12:50:00,90.0,21.987627850447595,-6356390.713282639
2024-01-01 12:51:00,90.0,24.52072558593474,-6356026.942955076
2024-01-01 12:52:00,90.0,27.085402502666565,-6355666.816087413
2024-01-01 12:53:00,90.0,29.69803314750714,-6355312.142103333
2024-01-01 12:54:00,90.0,32.37579270407666,-6354964.703143547
2024-01-01 12:55:00,90.0,35.13692240231833,-6354626.244919001
2024-01-01 12:56:00,90.0,38.00098764056824,-6354298.467770302
2024-01-01 12:57:00,90.0,40.98911497604113,-6353983.017985794
2024-01-01 12:58:00,90.0,44.124183145671935,-6353681.479427412
2024-01-01 12:59:00,90.0,47.43092687381383,-6353395.365510334
2024-01-01 13:00:00,90.0,50.93588878297786,-6353126.111578292
2024-01-01 13:01:00,90.0,54.667123145457765,-6352875.067712384
2024-01-01 13:02:00,90.0,58.653516456895765,-6352643.492007555
2024-01-01 13:03:00,90.0,62.92354991209492,-6352432.544345893
2024-01-01 13:04:00,90.0,67.5033036999631,-6352243.280692374
2024-01-01 13:05:00,90.0,72.41352442992195,-6352076.647934188
2024-01-01 13:06:00,90.0,77.66569540430747,-6351933.479281816
2024-01-01 13:07:00,90.0,83.25732326146137,-6351814.490245684
2024-01-01 13:08:00,90.0,89.16710921245263,-6351720.275200182
2024-01-01 13:09:00,90.0,95.35122487204197,-6351651.3045434635
2024-01-01 13:10:00,90.0,101.74229500868378,-6351607.922459707
2024-01-01 13:11:00,90.0,108.2524970212389,-6351590.3452884415
2024-01-01 13:12:00,90.0,114.78114599662985,-6351598.660503989
2024-01-01 13:13:00,90.0,121.2254917978971,-6351632.82630681
2024-01-01 13:14:00,90.0,127.49205844013666,-6351692.671827345
2024-01-01 13:15:00,90.0,133.50560530871232,-6351777.897941828
2024-01-01 13:16:00,90.0,139.2138579471911,-6351888.078698518
2024-01-01 13:17:00,90.0,144.58782836432007,-6352022.663351335
2024-01-01 13:18:00,90.0,149.61886334217536,-6352180.97899674
2024-01-01 13:19:00,90.0,154.31404147608586,-6352362.23380776
2024-01-01 13:20:00,90.0,158.6913139346896,-6352565.520856943
2024-01-01 13:21:00,90.0,162.77525176770578,-6352789.822517756
2024-01-01 13:22:00,90.0,166.5937553254581,-6353034.015431068
2024-01-01 13:23:00,90.0,170.17574241738095,-6353296.876020145
2024-01-01 13:24:00,90.0,173.54966440780407,-6353577.086533794
2024-01-01 13:25:00,90.0,176.74265021262337,-6353873.241593936
2024-01-01 13:26:00,90.0,179.78009138485123,-6354183.855219524
2024-01-01 13:27:00,90.0,-177.3144813380827,-6354507.368294598
2024-01-01 13:28:00,90.0,-174.51933941226653,-6354842.156443925
2024-01-01 13:29:00,90.0,-171.81439075401855,-6355186.538276059
2024-01-01 13:30:00,90.0,-169.18095558974818,-6355538.783949472
2024-01-01 13:31:00,90.0,-166.60151385759985,-6355897.124013687
2024-01-01 13:32:00,90.0,-164.0594413949201,-6356259.758474588
2024-01-01 13:33:00,90.0,-161.53874381191855,-6356624.866030597
2024-01-01 13:34:00,-90.0,-159.02379171172169,-6356514.01506648
2024-01-01 13:35:00,-90.0,-156.499057811322,-6356149.463640307
2024-01-01 13:36:00,-90.0,-153.9488549413173,-6355787.93712122
2024-01-01 13:37:00,-90.0,-151.35707351516913,-6355431.248229808
2024-01-01 13:38:00,-90.0,-148.7069177705599,-6355081.184224464
2024-01-01 13:39:00,-90.0,-145.98064204613385,-6354739.497825434
2024-01-01 13:40:00,-90.0,-143.1592919594654,-6354407.898357895
2024-01-01 13:41:00,-90.0,-140.22246128824838,-6354088.043163515
2024-01-01 13:42:00,-90.0,-137.14808464365024,-6353781.529326852
2024-01-01 13:43:00,-90.0,-133.91230001429395,-6353489.8857587585
2024-01-01 13:44:00,-90.0,-130.4894355341115,-6353214.565675123
2024-01-01 13:45:00,-90.0,-126.85220271419162,-6352956.9395048795
2024-01-01 13:46:00,-90.0,-122.97221387416897,-6352718.2882575495
2024-01-01 13:47:00,-90.0,-118.82098089337948,-6352499.797375175
2024-01-01 13:48:00,-90.0,-114.37158437169701,-6352302.551090783
2024-01-01 13:49:00,-90.0,-109.6012021807321,-6352127.527310479
2024-01-01 13:50:00,-90.0,-104.49461189544559,-6351975.593033926
2024-01-01 13:51:00,-90.0,-99.0485765958478,-6351847.500323651
